正字,異體字
瀨,濑瀬
瀰,㳽弥彌
瀾,澜
灌,潅
灑,洒
灕,漓
灘,滩潬
灣,湾
灤,滦欒
火,灬
灰,
灸,
灼,
災,灾烖菑
炊,
炎,
炒,
炕,
炙,
炫,
炬,
炭,
炮,炰砲礮
炯,烱
炳,
炸,煠
烈,
烊,煬
烏,乌
烘,灴
烙,
烤,
烹,
烽,
焉,
焊,
焗,
焙,
焚,
無,无橆
焦,焳
焰,焔燄
然,
煉,炼錬
煌,
煎,
煙,烟完菸
煜,
煞,
煤,
煥,焕烉
煦,喣
照,炤
煨,
煩,烦
煬,炀烊
煮,煑煮
煲,
煽,扇搧
熄,
熊,
熏,燻薰𤑕
熒,荧
熔,鎔
熙,煕熈
熟,
熨,㷉
熬,
熱,热𤍠
熹,熺
熾,炽
燃,
燄,焰
燈,灯
燉,炖
燎,
燐,㷠粦
燒,烧焼簫
燕,讌醼鷰
燙,烫
燜,焖
營,营営
燥,
燦,灿
燧,
燬,毁
燭,烛
燮,
燴,烩
燻,熏
燼,烬
爆,
爍,烁
爐,炉
爛,烂燗
爨,
爪,㕚爫
爬,
爭,争
爰,
